name,short_name,uefa_team_id,has_player_data
AEK Athens,AEK,50129,yes
Arsenal,ARS,52280,yes
Aston Villa,AVL,52683,yes
Atleti,ATM,50124,yes
B. Dortmund,BVB,52758,yes
Barcelona,BAR,50080,yes
Bayern München,BAY,50037,yes
Bodø/Glimt,BOD,59333,yes
Club Brugge,BRU,50043,yes
Como,COM,79946,yes
Fenerbahçe,FEN,52692,yes
Feyenoord,FEY,52749,yes
Galatasaray,GAL,50067,yes
Inter,INT,50138,yes
LASK,LASK,63405,yes
Leipzig,RBL,2603790,yes
Lens,LEN,52277,yes
Lille,LIL,75797,yes
Liverpool,LIV,7889,yes
Man City,MCI,52919,yes
Man Utd,MUN,52682,yes
Napoli,NAP,50136,yes
PSV,PSV,50062,yes
Paris,PSG,52747,yes
Porto,POR,50064,yes
Real Betis,BET,52265,yes
Real Madrid,RMA,50051,yes
Roma,ROM,50137,yes
S. Bratislava,SLB,52797,yes
Sabah,SAB,2609356,yes
Shakhtar,SHK,52707,yes
Slavia Praha,SLA,52498,yes
Sporting CP,SPO,50149,yes
Stuttgart,STU,50107,yes
Viking,VFK,52319,yes
Villarreal,VIL,70691,yes
