Match_Number,Date,Group,Stage,Home_Team,Away_Team,Time_ET,Venue,City,Country,matchday
1,2026-06-11,A,Group Stage,Mexico,South Africa,15:00,Estadio Azteca,Mexico City,Mexico,1
2,2026-06-11,A,Group Stage,South Korea,Czech Republic,22:00,Estadio Akron,Zapopan,Mexico,1
3,2026-06-12,B,Group Stage,Canada,Bosnia and Herzegovina,15:00,BMO Field,Toronto,Canada,1
4,2026-06-12,D,Group Stage,United States,Paraguay,21:00,SoFi Stadium,Inglewood,USA,1
5,2026-06-13,B,Group Stage,Qatar,Switzerland,15:00,Levi's Stadium,Santa Clara,USA,1
6,2026-06-13,C,Group Stage,Brazil,Morocco,18:00,MetLife Stadium,East Rutherford,USA,1
7,2026-06-13,C,Group Stage,Haiti,Scotland,21:00,Gillette Stadium,Foxborough,USA,1
8,2026-06-14,D,Group Stage,Australia,Turkey,00:00,BC Place,Vancouver,Canada,1
9,2026-06-14,E,Group Stage,Germany,Curacao,13:00,NRG Stadium,Houston,USA,1
10,2026-06-14,F,Group Stage,Netherlands,Japan,16:00,AT&T Stadium,Arlington,USA,1
11,2026-06-14,E,Group Stage,Ivory Coast,Ecuador,19:00,Lincoln Financial Field,Philadelphia,USA,1
12,2026-06-14,F,Group Stage,Sweden,Tunisia,22:00,Estadio BBVA,Monterrey,Mexico,1
13,2026-06-15,H,Group Stage,Spain,Cape Verde,12:00,Mercedes-Benz Stadium,Atlanta,USA,1
14,2026-06-15,G,Group Stage,Belgium,Egypt,15:00,Lumen Field,Seattle,USA,1
15,2026-06-15,H,Group Stage,Saudi Arabia,Uruguay,18:00,Hard Rock Stadium,Miami Gardens,USA,1
16,2026-06-15,G,Group Stage,Iran,New Zealand,21:00,SoFi Stadium,Inglewood,USA,1
17,2026-06-16,I,Group Stage,France,Senegal,15:00,MetLife Stadium,East Rutherford,USA,1
18,2026-06-16,I,Group Stage,Iraq,Norway,18:00,Gillette Stadium,Foxborough,USA,1
19,2026-06-16,J,Group Stage,Argentina,Algeria,21:00,Arrowhead Stadium,Kansas City,USA,1
