id,match_code,team_a,team_b,match_date,group_name,actual_score_a,actual_score_b,status,created_at,stadium,stage,matchday_id
036797e2-2cda-476b-bfa3-2f2bbf6e47ad,M33,GER,CIV,2026-06-20 20:00:00+00,E,,,upcoming,2026-05-20 18:39:44.353149+00,"BMO Field, Toronto",group,
0ad295c5-98b6-49b5-9303-3f0dad0e5041,M94,TBD,TBD,2026-07-06 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Hard Rock Stadium, Miami",round_of_16,
0f137dd2-c5b2-4ae2-aaeb-a10d9a4d88eb,M81,TBD,TBD,2026-06-30 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"MetLife Stadium, New York/New Jersey",round_of_32,
16a71871-5df8-4536-b68f-316bb4e737bb,M65,CPV,KSA,2026-06-27 00:00:00+00,H,,,upcoming,2026-05-20 18:39:44.353149+00,"NRG Stadium, Houston",group,
18d8de66-98c4-4168-808c-651b00614bb8,M56,ECU,GER,2026-06-25 20:00:00+00,E,,,upcoming,2026-05-20 18:39:44.353149+00,"MetLife Stadium, East Rutherford, New Jersey",group,
19022680-c7b9-47fa-8050-3ddaea7b52ae,M13,KSA,URU,2026-06-15 22:00:00+00,H,,,upcoming,2026-05-20 18:39:44.353149+00,"Hard Rock Stadium, Miami Gardens, Florida",group,
19ad86e4-7671-416e-8a71-41266ea2a618,M44,JOR,ALG,2026-06-23 03:00:00+00,J,,,upcoming,2026-05-20 18:39:44.353149+00,"Levi's Stadium, Santa Clara, California",group,
1a204534-ec89-46dd-b0f8-41ce645f3a45,M51,SUI,CAN,2026-06-24 19:00:00+00,B,,,upcoming,2026-05-20 18:39:44.353149+00,"BC Place, Vancouver",group,
1c5fc528-0e5b-49f8-ad1f-e9bc6fd88a43,M01,MEX,RSA,2026-06-11 19:00:00+00,A,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio Azteca, Mexico City",group,
1d27eb49-c406-4e08-a4e3-55ca10c6d511,M47,POR,UZB,2026-06-23 17:00:00+00,K,,,upcoming,2026-05-20 18:39:44.353149+00,"NRG Stadium, Houston",group,
21b9b007-c6f3-4510-82ac-9760d405a533,M58,TUN,NED,2026-06-25 23:00:00+00,F,,,upcoming,2026-05-20 18:39:44.353149+00,"Arrowhead Stadium, Kansas City, Missouri",group,
2311dcf7-6e65-4dac-b264-c231c4ad8401,M79,TBD,TBD,2026-06-30 17:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"NRG Stadium, Houston",round_of_32,
25ff4605-d32f-4540-9f9b-684e38e98aa2,M10,GER,CUW,2026-06-14 17:00:00+00,E,,,upcoming,2026-05-20 18:39:44.353149+00,"NRG Stadium, Houston",group,
26e46187-2b5f-4887-a5a2-da56ca3bd526,M26,SUI,BIH,2026-06-18 19:00:00+00,B,,,upcoming,2026-05-20 18:39:44.353149+00,"SoFi Stadium, Inglewood, California",group,
2759dda7-8455-446e-be90-d629400c6752,M67,PAN,ENG,2026-06-27 21:00:00+00,L,,,upcoming,2026-05-20 18:39:44.353149+00,"MetLife Stadium, East Rutherford, New Jersey",group,
2a5320f0-1781-4893-af2f-a380d5adb9dd,M68,CRO,GHA,2026-06-27 21:00:00+00,L,,,upcoming,2026-05-20 18:39:44.353149+00,"Lincoln Financial Field, Philadelphia",group,
2b2e2834-4423-4ec2-ac39-d5fe9dbc4275,M95,TBD,TBD,2026-07-07 17:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"AT&T Stadium, Dallas",round_of_16,
2cc9a54d-0e7d-4b60-bf69-85807f7c8b0d,M72,COD,UZB,2026-06-27 23:30:00+00,K,,,upcoming,2026-05-20 18:39:44.353149+00,"Mercedes-Benz Stadium, Atlanta",group,
300ef33e-fe64-48a9-9c4e-681f02e6b555,M90,TBD,TBD,2026-07-04 21:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"AT&T Stadium, Dallas",round_of_16,
39bb01f9-76aa-48a9-9181-8ea05f6f6008,M02,KOR,CZE,2026-06-12 02:00:00+00,A,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio Akron, Zapopan",group,
39cd7d8c-324f-4c3c-81ff-83d022227618,M69,ALG,AUT,2026-06-28 02:00:00+00,J,,,upcoming,2026-05-20 18:39:44.353149+00,"Arrowhead Stadium, Kansas City, Missouri",group,
3bc92d29-1529-4530-9912-f4f7fd0d61d7,M03,CAN,BIH,2026-06-12 19:00:00+00,B,,,upcoming,2026-05-20 18:39:44.353149+00,"BMO Field, Toronto",group,
3bca46ae-a54b-48be-a61e-6d4b5ea6019b,M37,URU,CPV,2026-06-21 22:00:00+00,H,,,upcoming,2026-05-20 18:39:44.353149+00,"Hard Rock Stadium, Miami Gardens, Florida",group,
3cae1d2f-50e6-421f-841d-c13adc7b3e75,M98,TBD,TBD,2026-07-09 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"MetLife Stadium, New York/New Jersey",quarterfinal,
3da471c9-7eec-4e1c-90fc-76fbfe3137ce,M96,TBD,TBD,2026-07-07 20:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"AT&T Stadium, Dallas",round_of_16,
41de9540-4b73-4791-ada5-8aea3f14ae0d,M91,TBD,TBD,2026-07-05 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Lumen Field, Seattle",round_of_16,
441125b5-5e21-4f7e-b3be-4bc057fa4d42,M92,TBD,TBD,2026-07-05 22:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Lumen Field, Seattle",round_of_16,
4c26cd02-3adb-4cc3-8ed8-b60c04656a41,M99,TBD,TBD,2026-07-10 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Lincoln Financial Field, Philadelphia",quarterfinal,
4d9505d8-528f-4638-a7af-feff3a5667cd,M20,AUT,JOR,2026-06-17 04:00:00+00,J,,,upcoming,2026-05-20 18:39:44.353149+00,"Levi's Stadium, Santa Clara, California",group,
4ddca10e-57f9-4184-adb3-ac008ce7a492,M75,TBD,TBD,2026-06-29 17:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Arrowhead Stadium, Kansas City",round_of_32,
4f7a6b14-6714-4e04-87e7-c1fee285d59b,M77,TBD,TBD,2026-06-29 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Levi's Stadium, San Francisco Bay Area",round_of_32,
4f9cc49c-4ded-4d8f-870e-fc7a21c2e213,M87,TBD,TBD,2026-07-03 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Mercedes-Benz Stadium, Atlanta",round_of_32,
5184034e-2c23-45d5-88e2-223631359106,M34,ECU,CUW,2026-06-21 00:00:00+00,E,,,upcoming,2026-05-20 18:39:44.353149+00,"Arrowhead Stadium, Kansas City, Missouri",group,
5ba0805a-e43c-444f-86bf-f64847aac44c,M100,TBD,TBD,2026-07-11 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Hard Rock Stadium, Miami",quarterfinal,
5ea75811-99ad-4601-ada5-51a60cd52645,M74,TBD,TBD,2026-06-28 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"SoFi Stadium, Los Angeles",round_of_32,
63dcf92b-0267-4aa5-a4a5-e096bf202125,M66,URU,ESP,2026-06-27 00:00:00+00,H,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio Akron, Zapopan",group,
6c52993b-898f-424b-8ebc-d15261ec8c97,M36,TUN,JPN,2026-06-21 04:00:00+00,F,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio BBVA, Guadalupe, Nuevo León",group,
6c88aaec-3560-45ea-9056-923dc10c5f9f,M22,ENG,CRO,2026-06-17 20:00:00+00,L,,,upcoming,2026-05-20 18:39:44.353149+00,"AT&T Stadium, Arlington, Texas",group,
7222bc24-94bd-41b0-9bb2-2094dec4f8b0,M70,JOR,ARG,2026-06-28 02:00:00+00,J,,,upcoming,2026-05-20 18:39:44.353149+00,"AT&T Stadium, Arlington, Texas",group,
7535e1d7-2306-4464-84b8-b83884b5b72b,M23,POR,COD,2026-06-17 17:00:00+00,K,,,upcoming,2026-05-20 18:39:44.353149+00,"NRG Stadium, Houston",group,
78de581b-5c5e-482c-a60e-fa4f290d06ad,M103,TBD,TBD,2026-07-18 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Lincoln Financial Field, Philadelphia",third_place,
8aaf5a3c-0c1a-4504-8ed8-7bc5fd66be26,M48,COL,COD,2026-06-24 02:00:00+00,K,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio Akron, Zapopan",group,
8aafab51-321c-4399-9779-aaeed02acd0d,M43,ARG,AUT,2026-06-22 17:00:00+00,J,,,upcoming,2026-05-20 18:39:44.353149+00,"AT&T Stadium, Arlington, Texas",group,
8cce9c1f-33e2-41cd-b304-8f2e16500b9a,M38,ESP,KSA,2026-06-21 16:00:00+00,H,,,upcoming,2026-05-20 18:39:44.353149+00,"Mercedes-Benz Stadium, Atlanta",group,
8f01684c-de56-4cb7-ba4d-e7afabd466a6,M45,ENG,GHA,2026-06-23 20:00:00+00,L,,,upcoming,2026-05-20 18:39:44.353149+00,"Gillette Stadium, Foxborough, Massachusetts",group,
