name,country,country_code,position,price,photo_url
Rayan Aït-Nouri,Algeria,ALG,DEF,4.9,
Ramy Bensebaini,Algeria,ALG,DEF,4.4,
Aïssa Mandi,Algeria,ALG,DEF,3.9,
Mehdi Dorval,Algeria,ALG,DEF,3.7,
Zinéddine Belaïd,Algeria,ALG,DEF,3.7,
Sohaib Nair,Algeria,ALG,DEF,3.5,
Rafik Belghali,Algeria,ALG,DEF,3.5,
Achref Abada,Algeria,ALG,DEF,3.5,
Mohammed Amoura,Algeria,ALG,FWD,6.2,
Amine Gouiri,Algeria,ALG,FWD,6.2,
Riyad Mahrez,Algeria,ALG,MID,6.5,
Ibrahim Maza,Algeria,ALG,FWD,5.4,
Anis Hadj Moussa,Algeria,ALG,FWD,5.3,
Farès Ghedjemis,Algeria,ALG,FWD,4.4,
Ahmed Benbouali,Algeria,ALG,FWD,4.2,
Amin Chiakha,Algeria,ALG,FWD,4,
Anthony Mandréa,Algeria,ALG,GK,3.9,
Luca Zidane,Algeria,ALG,GK,3.8,
Melvin Mastil,Algeria,ALG,GK,3.5,
Kilian Belazzoug,Algeria,ALG,GK,3.5,
Adil Boulbina,Algeria,ALG,MID,4,
Yacine Titraoui,Algeria,ALG,MID,4.7,
Ramiz Zerrouki,Algeria,ALG,MID,5.3,
Hicham Boudaoui,Algeria,ALG,MID,5.5,
Adil Aouchiche,Algeria,ALG,MID,5.6,
Houssem Aouar,Algeria,ALG,MID,6,
Farès Chaïbi,Algeria,ALG,MID,6.2,
Cristian Romero,Argentina,ARG,DEF,4.9,
Marcos Senesi,Argentina,ARG,DEF,4.7,
Nahuel Molina,Argentina,ARG,DEF,4.4,
Nicolás Otamendi,Argentina,ARG,DEF,4.4,
Marcos Acuña,Argentina,ARG,DEF,4.3,
Lucas Martínez Quarta,Argentina,ARG,DEF,4.3,
Nicolás Tagliafico,Argentina,ARG,DEF,4.3,
Gabriel Rojas,Argentina,ARG,DEF,4,
Agustín Giay,Argentina,ARG,DEF,3.7,
Lionel Messi,Argentina,ARG,FWD,10,
Julián Alvarez,Argentina,ARG,FWD,8.6,
Gianluca Prestianni,Argentina,ARG,MID,5.6,
Giuliano Simeone,Argentina,ARG,MID,5.6,
Nico González,Argentina,ARG,MID,5.6,
José Manuel López,Argentina,ARG,FWD,5.3,
Franco Mastantuono,Argentina,ARG,MID,5.8,
Emiliano Martínez,Argentina,ARG,GK,5,
Gerónimo Rulli,Argentina,ARG,GK,4.5,
Juan Musso,Argentina,ARG,GK,4.3,
Leandro Paredes,Argentina,ARG,MID,5.6,
Máximo Perrone,Argentina,ARG,MID,5.6,
Rodrigo De Paul,Argentina,ARG,MID,5.9,
Nico Paz,Argentina,ARG,MID,5.9,
Alejandro Garnacho,Argentina,ARG,MID,5.5,
Valentín Barco,Argentina,ARG,MID,6.2,
Exequiel Palacios,Argentina,ARG,MID,6,
Thiago Almada,Argentina,ARG,MID,6.5,
Alexis Mac Allister,Argentina,ARG,MID,6.6,
Enzo Fernández,Argentina,ARG,MID,7.5,
Jordan Bos,Australia,AUS,DEF,4,
Kye Rowles,Australia,AUS,DEF,3.9,
Alessandro Circati,Australia,AUS,DEF,3.9,
Cameron Burgess,Australia,AUS,DEF,3.8,
Milos Degenek,Australia,AUS,DEF,3.8,
Aziz Behich,Australia,AUS,DEF,3.8,
Jason Geria,Australia,AUS,DEF,3.7,
Kai Trewin,Australia,AUS,DEF,3.5,
Lucas Herrington,Australia,AUS,DEF,3.5,
Nestory Irankunda,Australia,AUS,FWD,5.1,
Martin Boyle,Australia,AUS,FWD,5.1,
Nishan Velupillay,Australia,AUS,FWD,4.4,
Jacob Italiano,Australia,AUS,DEF,4.2,
Mathew Ryan,Australia,AUS,GK,4.1,
Paul Izzo,Australia,AUS,GK,3.6,
Patrick Beach,Australia,AUS,GK,3.5,
Paul Okon,Australia,AUS,MID,4.7,
Connor Metcalfe,Australia,AUS,MID,5.3,
Aiden O'Neill,Australia,AUS,MID,5.4,
Awer Mabil,Australia,AUS,MID,5.6,
Ajdin Hrustic,Australia,AUS,MID,5.7,
David Alaba,Austria,AUT,DEF,4.6,
Philipp Lienhart,Austria,AUT,DEF,4.3,
Alexander Prass,Austria,AUT,DEF,4.3,
Kevin Danso,Austria,AUT,DEF,4.3,
Stefan Posch,Austria,AUT,DEF,4.3,
Phillipp Mwene,Austria,AUT,DEF,3.9,
Marco Friedl,Austria,AUT,DEF,4.3,
David Affengruber,Austria,AUT,DEF,3.9,
Michael Svoboda,Austria,AUT,DEF,3.8,
Marko Arnautovic,Austria,AUT,FWD,6,
Michael Gregoritsch,Austria,AUT,FWD,6,
Sasa Kalajdzic,Austria,AUT,FWD,6,
Alexander Schlager,Austria,AUT,GK,4.6,
Patrick Pentz,Austria,AUT,GK,4.6,
Florian Wiegele,Austria,AUT,GK,3.5,
Carney Chukwuemeka,Austria,AUT,MID,5,
Konrad Laimer,Austria,AUT,MID,5.8,
Alessandro Schöpf,Austria,AUT,MID,5.3,
