Player,Pos,Rank,PTS,MP,G,SOnT,SOffT,OffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,player_id,player_name
L. Krejčí,DF,1,8.02,90,1,1.0,0.0,0.0,0.0,0.0,45.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,353,Ladislav Krejcí
M. Kovář,GK,2,6.82,90,0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,347,Matej Kovár
A. Sojka,MF,3,6.68,84,0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,370,Alexandr Sojka
V. Coufal,MF,4,6.54,90,0,0.0,0.0,0.0,0.0,1.0,26.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,351,Vladimír Coufal
P. Šulc,MF,5,6.46,64,0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,361,Pavel Sulc
L. Provod,MF,5,6.46,64,0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,363,Lukás Provod
M. Sadílek,Sub,7,6.36,26,0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,364,Michal Sadílek
T. Souček,MF,8,6.2,90,0,0.0,1.0,1.0,0.0,0.0,34.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,368,Tomás Soucek
Š. Chaloupek,DF,9,6.18,90,0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,352,Stepán Chaloupek
A. Hložek,Sub,10,6.08,26,0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,355,Adam Hlozek
J. Zelený,MF,11,6.02,90,0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,366,Jaroslav Zeleny
R. Hranáč,DF,12,5.72,90,0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,350,Robin Hranác
P. Schick,FW,13,5.7,64,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,356,Patrik Schick
M. Chytil,Sub,25,5.44,6,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,359,Mojmír Chytil
T. Chorý,Sub,26,5.36,26,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,365,Tomás Chory
