Player,Pos,Rank,PTS,MP,G,SOnT,SOffT,OffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,player_id,player_name
Hwang In-Beom,MF,1,10.0,84,1,2.0,1.0,1.0,0.0,0.0,1.0,81.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,643,Hwang In-Beom
Lee Kang-In,MF,2,7.82,90,0,1.0,0.0,0.0,0.0,0.0,1.0,38.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,655,Lee Kang-In
Son Heung-Min,FW,3,7.38,69,0,1.0,2.0,2.0,3.0,0.0,0.0,22.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,644,Son Heung-Min
Oh Hyeon-Gyu,Sub,4,7.14,21,1,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654,Oh Hyeon-Gyu
Kim Seung-Gyu,GK,5,7.08,90,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,638,Kim Seung-Gyu
Lee Gi-Hyuk,DF,6,7.04,90,0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,640,Lee Gi-Hyuk
Kim Min-Jae,DF,7,6.98,90,0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,641,Kim Min-Jae
Lee Jae-Sung,MF,8,6.96,62,0,1.0,1.0,1.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,647,Lee Jae-Sung
Paik Seung-Ho,MF,9,6.86,84,0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,645,Paik Seung-Ho
Lee Han-Beom,DF,10,6.76,90,0,0.0,1.0,1.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,639,Lee Han-Beom
Seol Young-Woo,MF,11,6.3,90,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,658,Seol Young-Woo
Lee Tae-Seok,MF,12,6.16,69,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,650,Lee Tae-Seok
Eom Ji-Sung,Sub,13,5.98,21,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661,Eom Ji-Sung
Kim Jin-Gyu,Sub,14,5.88,6,0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660,Kim Jin-Gyu
Hwang Hee-Chan,Sub,15,5.82,28,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,Hwang Hee-Chan
Park Jin-Seob,Sub,16,5.68,6,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652,Park Jin-Seob
