Player,Pos,Rank,PTS,MP,G,SOnT,SOffT,OffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,player_id,player_name
Mauricio,Sub,1,7.7,45,1,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,810,Maurício Magalhães Prado
J. Enciso,FW,2,7.42,90,0,0.0,1.0,1.0,1.0,0.0,1.0,25.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,818,Julio Enciso
D. Gómez,MF,3,7.04,80,0,0.0,2.0,2.0,2.0,0.0,0.0,27.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,807,Diego Gómez
J. Cáceres,DF,4,6.58,79,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,5.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,803,Juan José Cáceres
M. Almirón,MF,5,6.46,79,0,0.0,2.0,0.0,2.0,0.0,0.0,23.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,809,Miguel Almirón
J. Alonso,DF,6,6.44,90,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,805,Júnior Alonso
A. Cubas,MF,7,6.22,90,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,813,Andrés Cubas
O. Alderete,DF,8,6.14,90,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,802,Omar Alderete
A. Romero,Sub,9,5.58,10,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,816,Alejandro Romero
G. Gómez,DF,9,5.58,90,0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,814,Gustavo Gómez
R. Sosa,Sub,11,5.56,11,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,806,Ramón Sosa
G. Velázquez,Sub,22,5.46,11,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,801,Gustavo Velázquez
Á. Arce,Sub,23,5.42,28,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,817,Álex Arce
A. Sanabria,FW,24,5.38,62,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,808,Antonio Sanabria
D. Bobadilla,MF,25,5.3,45,0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,815,Damián Bobadilla
O. Gill,GK,26,5.1,90,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,811,Orlando Gill
