Player,Pos,Rank,PTS,MP,G,SOnT,SOffT,OffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,player_id,player_name
J. Lukić,FW,1,7.74,62,1,2.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,146,Jovo Lukic
N. Katić,DF,2,7.06,90,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,139,Nikola Katic
B. Tahirović,MF,3,7.02,90,0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,128,Benjamin Tahirovic
T. Muharemović,DF,4,6.82,90,0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,126,Tarik Muharemovic
S. Kolašinac,DF,5,6.76,84,0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,127,Sead Kolasinac
A. Gigović,Sub,6,6.42,28,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,130,Armin Gigovic
E. Demirović,FW,7,6.24,90,0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,132,Ermedin Demirovic
A. Dedić,DF,7,6.24,90,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,129,Amar Dedic
I. Bašić,MF,9,6.22,62,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134,Ivan Basic
E. Bajraktarević,MF,10,6.2,74,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,141,Esmir Bajraktarevic
N. Vasilj,GK,11,6.0,90,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,123,Nikola Vasilj
A. Memić,MF,12,5.84,74,0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,136,Amar Memic
D. Burnić,Sub,13,5.74,6,0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,138,Dzenis Burnic
S. Baždar,Sub,14,5.72,28,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,131,Samed Bazdar
I. Šunjić,Sub,25,5.48,16,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,135,Ivan Sunjic
K. Alajbegović,Sub,26,5.42,16,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,140,Kerim Alajbegovic
