Player,Pos,Rank,PTS,MP,G,SOnT,SOffT,OffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,player_id,player_name
D. Cornelius,DF,1,8.04,90,0,0.0,1.0,1.0,0.0,0.0,0.0,66.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,183,Derek Cornelius
R. Laryea,DF,2,7.64,90,0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,198,Richie Laryea
I. Koné,MF,3,7.52,90,0,0.0,1.0,0.0,1.0,0.0,0.0,59.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,179,Ismaël Koné
C. Larin,Sub,4,7.2,14,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,180,Cyle Larin
S. Eustaquio,MF,5,7.02,89,0,0.0,1.0,1.0,0.0,0.0,0.0,47.0,9.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,178,Stephen Eustaquio
L. De Fougerolles,DF,6,7.0,90,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,175,Luc De Fougerolles
J. David,FW,7,6.98,61,0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,181,Jonathan David
M. Crépeau,GK,8,6.58,90,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,186,Maxime Crépeau
T. Oluwaseyi,FW,9,6.5,76,0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,197,Tani Oluwaseyi
P. David,Sub,10,6.46,29,0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,193,Promise David
A. Johnston,DF,11,6.36,90,0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,174,Alistair Johnston
L. Millar,MF,12,6.34,61,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,182,Liam Millar
A. Ahmed,Sub,13,6.1,29,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,190,Ali Ahmed
T. Buchanan,MF,14,6.0,61,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,187,Tajon Buchanan
J. Shaffelburg,Sub,15,5.86,29,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,184,Jacob Shaffelburg
J. Osorio,Sub,16,5.6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,191,Jonathan Osorio
