id,name,country,country_code,position,price,is_eliminated,photo_url,created_at,current_price,opta_name
1,Melvin Mastil,Algeria,ALG,GK,3.5,false,,2026-06-07 20:08:13.783269,3.5,
2,Aïssa Mandi,Algeria,ALG,DEF,3.9,false,,2026-06-07 20:08:13.783269,3.9,A. Mandi
3,Zinéddine Belaïd,Algeria,ALG,DEF,3.7,false,,2026-06-07 20:08:13.783269,3.7,Z. Belaïd
4,Ramiz Zerrouki,Algeria,ALG,MID,5.3,false,,2026-06-07 20:08:13.783269,5.3,R. Zerrouki
5,Riyad Mahrez,Algeria,ALG,FWD,6.5,false,,2026-06-07 20:08:13.783269,6.5,R. Mahrez
6,Houssem Aouar,Algeria,ALG,MID,6.0,false,,2026-06-07 20:08:13.783269,6.0,H. Aouar
7,Farès Chaïbi,Algeria,ALG,MID,6.2,false,,2026-06-07 20:08:13.783269,6.2,F. Chaïbi
8,Anis Hadj Moussa,Algeria,ALG,FWD,5.3,false,,2026-06-07 20:08:13.783269,5.3,A. Hadj Moussa
9,Ahmed Benbouali,Algeria,ALG,FWD,4.2,false,,2026-06-07 20:08:13.783269,4.2,
10,Hicham Boudaoui,Algeria,ALG,MID,5.5,false,,2026-06-07 20:08:13.783269,5.5,H. Boudaoui
11,Rayan Aït-Nouri,Algeria,ALG,DEF,4.9,false,,2026-06-07 20:08:13.783269,4.9,R. Aït-Nouri
12,Mohammed Amoura,Algeria,ALG,FWD,6.2,false,,2026-06-07 20:08:13.783269,6.2,M. Amoura
13,Adil Boulbina,Algeria,ALG,FWD,4.0,false,,2026-06-07 20:08:13.783269,4.0,A. Boulbina
14,Ibrahim Maza,Algeria,ALG,MID,5.4,false,,2026-06-07 20:08:13.783269,5.4,I. Maza
15,Luca Zidane,Algeria,ALG,GK,3.8,false,,2026-06-07 20:08:13.783269,3.8,L. Zidane
16,Farès Ghedjemis,Algeria,ALG,FWD,4.4,false,,2026-06-07 20:08:13.783269,4.4,F. Ghedjemis
17,Achref Abada,Algeria,ALG,DEF,3.5,false,,2026-06-07 20:08:13.783269,3.5,
18,Rafik Belghali,Algeria,ALG,DEF,3.5,false,,2026-06-07 20:08:13.783269,3.5,R. Belghali
19,Ramy Bensebaini,Algeria,ALG,DEF,4.4,false,,2026-06-07 20:08:13.783269,4.4,R. Bensebaini
20,Yacine Titraoui,Algeria,ALG,MID,4.7,false,,2026-06-07 20:08:13.783269,4.7,
21,Amine Gouiri,Algeria,ALG,FWD,6.2,false,,2026-06-07 20:08:13.783269,6.2,A. Gouiri
22,Juan Musso,Argentina,ARG,GK,4.3,false,,2026-06-07 20:08:13.783269,4.3,
23,Leonardo Balerdi,Argentina,ARG,DEF,4.0,false,,2026-06-07 20:08:13.783269,4.0,
24,Nicolás Tagliafico,Argentina,ARG,DEF,4.3,false,,2026-06-07 20:08:13.783269,4.3,N. Tagliafico
25,Gonzalo Montiel,Argentina,ARG,DEF,4.3,false,,2026-06-07 20:08:13.783269,4.3,G. Montiel
26,Leandro Paredes,Argentina,ARG,MID,5.6,false,,2026-06-07 20:08:13.783269,5.6,L. Paredes
27,Lisandro Martínez,Argentina,ARG,DEF,4.6,false,,2026-06-07 20:08:13.783269,4.6,Lisandro Martínez
28,Rodrigo De Paul,Argentina,ARG,MID,5.9,false,,2026-06-07 20:08:13.783269,5.9,R. De Paul
29,Valentín Barco,Argentina,ARG,MID,6.2,false,,2026-06-07 20:08:13.783269,6.2,V. Barco
30,Julián Alvarez,Argentina,ARG,FWD,8.6,false,,2026-06-07 20:08:13.783269,8.6,J. Alvarez
31,Lionel Messi,Argentina,ARG,FWD,10.0,false,,2026-06-07 20:08:13.783269,10.0,L. Messi
32,Giovani Lo Celso,Argentina,ARG,MID,6.2,false,,2026-06-07 20:08:13.783269,6.2,G. Lo Celso
33,Gerónimo Rulli,Argentina,ARG,GK,4.5,false,,2026-06-07 20:08:13.783269,4.5,
34,Cristian Romero,Argentina,ARG,DEF,4.9,false,,2026-06-07 20:08:13.783269,4.9,C. Romero
35,Exequiel Palacios,Argentina,ARG,MID,6.0,false,,2026-06-07 20:08:13.783269,6.0,E. Palacios
36,Thiago Almada,Argentina,ARG,FWD,6.5,false,,2026-06-07 20:08:13.783269,6.5,T. Almada
37,Giuliano Simeone,Argentina,ARG,FWD,5.6,false,,2026-06-07 20:08:13.783269,5.6,G. Simeone
38,Nicolás Otamendi,Argentina,ARG,DEF,4.4,false,,2026-06-07 20:08:13.783269,4.4,N. Otamendi
39,Alexis Mac Allister,Argentina,ARG,MID,6.6,false,,2026-06-07 20:08:13.783269,6.6,A. Mac Allister
40,José Manuel López,Argentina,ARG,FWD,5.3,false,,2026-06-07 20:08:13.783269,5.3,J. López
41,Lautaro Martínez,Argentina,ARG,FWD,8.8,false,,2026-06-07 20:08:13.783269,8.8,Lautaro Martínez
42,Emiliano Martínez,Argentina,ARG,GK,5.0,false,,2026-06-07 20:08:13.783269,6,E. Martínez
43,Enzo Fernández,Argentina,ARG,MID,7.5,false,,2026-06-07 20:08:13.783269,7.5,E. Fernández
44,Facundo Medina,Argentina,ARG,DEF,4.0,false,,2026-06-07 20:08:13.783269,4.0,F. Medina
45,Nahuel Molina,Argentina,ARG,DEF,4.4,false,,2026-06-07 20:08:13.783269,4.4,N. Molina
46,Nico González,Argentina,ARG,MID,5.6,false,,2026-06-07 20:08:13.783269,5.6,N. González
47,Mathew Ryan,Australia,AUS,GK,4.1,false,,2026-06-07 20:08:13.783269,4.1,
48,Milos Degenek,Australia,AUS,DEF,3.8,false,,2026-06-07 20:08:13.783269,3.8,
49,Alessandro Circati,Australia,AUS,DEF,3.9,false,,2026-06-07 20:08:13.783269,3.9,A. Circati
50,Jacob Italiano,Australia,AUS,DEF,4.2,false,,2026-06-07 20:08:13.783269,4.2,J. Italiano
51,Jordan Bos,Australia,AUS,DEF,4.0,false,,2026-06-07 20:08:13.783269,4.0,J. Bos
