Player,Pos,Rank,PTS,MP,G,SOnT,SOffT,OffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,player_id,player_name
F. Balogun,FW,1,9.62,72,2,3.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1077,Folarin Balogun
M. Tillman,MF,2,8.68,82,0,2.0,1.0,1.0,2.0,0.0,1.0,38.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1076,Malik Tillman
A. Freeman,DF,3,8.0,90,0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1075,Alexander Freeman
T. Ream,DF,4,7.6,90,0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1083,Tim Ream
C. Richards,DF,5,7.48,90,0,0.0,1.0,1.0,0.0,0.0,0.0,84.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1081,Chris Richards
T. Adams,MF,6,7.28,90,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1187,Tyler Adams
G. Reyna,Sub,7,7.18,8,1,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069,Giovanni Reyna
C. Pulisic,MF,8,6.98,45,0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071,Christian Pulisic
A. Robinson,DF,9,6.78,90,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1067,Antonee Robinson
W. McKennie,MF,10,6.5,90,0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1082,Weston McKennie
S. Berhalter,Sub,11,6.48,45,0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1073,Sebastian Berhalter
S. Dest,MF,12,6.42,72,0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1186,Sergiño Dest
T. Weah,Sub,13,5.88,18,0,0.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1078,Timothy Weah
R. Pepi,Sub,14,5.76,18,0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1070,Ricardo Pepi
M. Freese,GK,26,5.3,90,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1086,Matt Freese
